feature,mean_abs_shap
EFX_BC_UTIL_1,0.05780589762306495
EFX_AL_BAL_1,0.05689534539888181
EFX_AL_TRDAGE_1,0.035709323133512015
FICO,0.03508071360897258
EFX_AL_DQOCURNC_3,0.03076597649903832
EFX_BC_BAL_5,0.02451785102691993
EFX_BC_TRDAGE_1,0.022423809793743543
EFX_AL_TRDCNT_1,0.02130216929872486
EFX_BC_INQCNT_4,0.020209574180012756
EFX_BC_TRDCNT_1,0.01909754835031925
EFX_BC_TRDAGE_3,0.017394561235549107
CURRENT_INCOME,0.016135815952516848
EFX_AL_TRDCNT_5,0.01599748038421044
EFX_BC_TRDAGE_2,0.015370678162529367
EFX_BC_INQCNT_1,0.01487700559737212
PV,0.013096015340513694
EFX_BC_BAL_1,0.012811007796983008
EFX_AR_BAL_1,0.009633675730093895
EFX_BC_TRDCNT_5,0.007233622895264742
EFX_BC_DQOCURNC_5,0.005628997110044172
EFX_AL_DQOCURNC_1,0.0014501910581173293
EFX_AL_DQOCURNC_2,0.0009247157160284157
EFX_BC_INQCNT_2,0.000536172320480814
EFX_BC_TRDCNT_4,0.0
EFX_BC_DQOCURNC_3,0.0
EFX_AL_DQOCURNC_5,0.0
